barrio,descripcion,m2,usd_m2,precio_usd,fuente,categoria,fecha
Luis A. de Herrera,Terreno con casa a demoler o remodelar,420,364,153000,Century 21,A,2026-04
Luis A. de Herrera,Terreno - Juan Manuel Frutos casi Concejal Vargas,552,408,225000,RE/MAX,A,2026-04
Luis A. de Herrera,Terreno - Herrera Asuncion,552,399,220000,RE/MAX,A,2026-04
Luis A. de Herrera,Terreno - Sto. Silva c/ Maximino Perez,372,323,120000,RE/MAX,A,2026-04
Luis A. de Herrera,Terreno en Barrio Herrera,391,409,160000,InfoCasas,A,2026-04
